"Exchange Date","Close","Net","Open","
Low","
High","Volume","OI","Bid","Ask"
"13-Feb-2025","71.00","-0.37","71.24","70.53","71.32","34,848","","71.00","71.01"
"12-Feb-2025","71.37","-1.95","73.20","71.17","73.22","318,123","148,860.00","71.19","71.22"
"11-Feb-2025","73.32","+1.00","72.49","72.31","73.68","266,819","179,600.00","73.16","73.22"
"10-Feb-2025","72.32","+1.32","71.00","70.84","72.54","255,941","211,466.00","72.45","72.50"
"07-Feb-2025","71.00","+0.39","70.56","70.47","71.41","273,766","239,438.00","71.06","71.10"
"06-Feb-2025","70.61","-0.42","71.18","70.43","71.85","299,037","266,938.00","70.50","70.54"
"05-Feb-2025","71.03","-1.67","72.76","70.96","72.97","289,902","269,321.00","71.12","71.18"
"04-Feb-2025","72.70","-0.46","72.35","70.67","73.35","452,961","276,301.00","72.69","72.74"
"03-Feb-2025","73.16","+0.63","74.14","72.05","75.18","517,853","292,177.00","72.22","72.38"
"31-Jan-2025","72.53","-0.20","73.20","71.94","73.84","376,335","306,594.00","73.69","73.86"
"30-Jan-2025","72.73","+0.11","73.00","72.02","73.84","336,475","311,871.00","73.22","73.28"
"29-Jan-2025","72.62","-1.15","73.95","72.33","74.08","312,733","319,397.00","72.99","73.03"
"28-Jan-2025","73.77","+0.60","73.15","72.93","74.31","326,075","328,606.00","73.94","73.98"
"27-Jan-2025","73.17","-1.49","74.54","72.38","75.15","334,418","330,550.00","73.07","73.11"
"24-Jan-2025","74.66","+0.04","74.30","74.01","75.21","319,679","334,681.00","74.59","74.62"
"23-Jan-2025","74.62","-0.82","75.39","74.14","76.00","350,688","345,849.00","74.26","74.28"
"22-Jan-2025","75.44","-0.45","75.88","75.28","76.45","315,333","361,898.00","75.41","75.45"
"21-Jan-2025","75.89","-1.99","78.19","75.49","78.47","28,413","8,138.00","",""
"17-Jan-2025","77.88","-0.80","78.75","77.76","79.44","112,409","19,154.00","77.55","79.72"
"16-Jan-2025","78.68","-1.36","80.40","77.87","80.59","159,948","50,656.00","78.52","79.72"
"15-Jan-2025","80.04","+2.54","78.03","77.24","80.77","321,422","79,676.00","80.47","80.52"
"14-Jan-2025","77.50","-1.32","78.82","77.41","79.09","326,729","115,393.00","78.08","78.12"
"13-Jan-2025","78.82","+2.25","76.54","76.54","79.27","460,942","148,350.00","78.76","78.80"
"10-Jan-2025","76.57","+2.65","74.29","74.02","77.86","478,432","203,045.00","76.53","76.58"
"09-Jan-2025","73.92","+0.60","73.32","72.84","74.32","213,421","231,639.00","74.28","74.32"
"08-Jan-2025","73.32","-0.93","74.52","73.16","75.29","328,617","244,353.00","73.29","73.34"
"07-Jan-2025","74.25","+0.69","73.44","73.11","74.53","277,328","270,820.00","74.42","74.43"
"06-Jan-2025","73.56","-0.40","74.05","73.20","74.99","306,042","281,898.00","73.40","73.44"
"03-Jan-2025","73.96","+0.83","73.13","72.70","74.35","296,040","310,913.00","74.04","74.10"
"02-Jan-2025","73.13","+1.41","71.85","71.79","73.73","306,498","325,952.00","73.11","73.14"
"31-Dec-2024","71.72","+0.73","71.15","70.87","72.02","151,155","340,630.00","71.85","71.89"
"30-Dec-2024","70.99","+0.39","70.42","70.12","71.56","199,296","338,865.00","71.11","71.14"
"27-Dec-2024","70.60","+0.98","69.68","69.44","70.75","172,641","340,806.00","70.23","70.28"
"26-Dec-2024","69.62","-0.48","70.20","69.33","70.75","144,877","340,519.00","69.51","69.69"
"24-Dec-2024","70.10","+0.86","69.56","69.36","70.43","122,602","342,490.00","70.12","70.38"
"23-Dec-2024","69.24","-0.22","69.40","68.59","69.94","188,843","338,778.00","69.45","69.62"
"20-Dec-2024","69.46","-0.45","69.23","68.42","69.85","231,592","345,037.00","69.54","69.59"
"19-Dec-2024","69.91","-0.67","70.14","69.70","71.26","32,896","2,374.00","",""
"18-Dec-2024","70.58","+0.50","70.22","69.99","71.38","99,386","18,610.00","69.73","71.42"
"17-Dec-2024","70.08","-0.63","70.61","69.18","70.92","99,604","53,003.00","69.73","70.48"
"16-Dec-2024","70.71","-0.58","71.44","70.37","71.44","204,296","80,837.00","70.61","70.67"
"13-Dec-2024","71.29","+1.27","70.06","69.87","71.42","230,429","115,776.00","71.06","71.12"
"12-Dec-2024","70.02","-0.27","70.43","69.14","70.72","326,046","138,987.00","69.98","70.02"
"11-Dec-2024","70.29","+1.70","68.50","68.44","70.53","335,892","172,620.00","70.37","70.40"
"10-Dec-2024","68.59","+0.22","68.19","67.72","69.06","286,003","207,468.00","68.46","68.48"
"09-Dec-2024","68.37","+1.17","67.15","67.08","68.88","297,085","232,519.00","68.12","68.15"
"06-Dec-2024","67.20","-1.10","68.44","66.98","68.49","341,593","268,503.00","67.16","67.19"
"05-Dec-2024","68.30","-0.24","68.74","67.98","69.16","286,701","288,029.00","68.44","68.47"
"04-Dec-2024","68.54","-1.40","70.02","68.49","70.51","325,636","298,906.00","68.63","68.74"
"03-Dec-2024","69.94","+1.84","68.16","67.91","70.23","303,752","314,667.00","69.96","69.99"
"02-Dec-2024","68.10","+0.10","68.00","67.71","69.11","264,883","328,618.00","68.16","68.18"
"29-Nov-2024","68.00","-0.72","68.77","67.87","69.69","291,408","331,100.00","68.14","68.15"
"27-Nov-2024","68.72","-0.05","68.91","68.18","69.37","227,215","327,399.00","68.76","68.78"
"26-Nov-2024","68.77","-0.17","69.08","68.05","70.30","292,138","329,053.00","68.95","69.00"
"25-Nov-2024","68.94","-2.30","71.44","68.74","71.48","380,922","335,805.00","69.07","69.09"
"22-Nov-2024","71.24","+1.14","70.18","69.29","71.51","408,207","346,924.00","71.16","71.22"
"21-Nov-2024","70.10","+1.23","69.04","68.86","70.38","283,850","368,534.00","70.12","70.14"
"20-Nov-2024","68.87","-0.52","69.55","68.75","70.15","24,429","8,082.00","",""
"19-Nov-2024","69.39","+0.23","69.01","68.45","69.69","89,360","21,833.00","68.82","69.73"
"18-Nov-2024","69.16","+2.14","66.86","66.61","69.39","110,375","52,304.00","68.60","69.40"
"15-Nov-2024","67.02","-1.68","68.62","66.82","68.69","205,235","79,472.00","66.93","66.97"
"14-Nov-2024","68.70","+0.27","68.13","67.92","69.39","232,270","116,040.00","68.59","68.63"
"13-Nov-2024","68.43","+0.31","67.98","66.94","68.86","386,027","140,693.00","68.03","68.06"
"12-Nov-2024","68.12","+0.08","68.15","67.75","69.13","286,926","169,247.00","67.95","67.98"
"11-Nov-2024","68.04","-2.34","70.25","67.92","70.56","364,506","197,298.00","68.12","68.17"
"08-Nov-2024","70.38","-1.98","72.21","69.99","72.25","362,038","221,179.00","70.40","70.44"
"07-Nov-2024","72.36","+0.67","71.87","70.66","72.88","353,595","254,863.00","72.17","72.20"
"06-Nov-2024","71.69","-0.30","72.02","69.74","72.63","388,265","279,129.00","71.87","71.92"
"05-Nov-2024","71.99","+0.52","71.62","71.29","72.67","247,311","287,694.00","71.94","72.12"
"04-Nov-2024","71.47","+1.98","70.29","70.25","71.81","286,947","303,362.00","71.67","71.70"
"01-Nov-2024","69.49","+0.23","70.44","69.32","71.45","320,572","321,506.00","69.32","69.35"
"31-Oct-2024","69.26","+0.65","69.10","68.30","70.81","311,055","339,370.00","70.50","70.54"
"30-Oct-2024","68.61","+1.40","67.47","67.28","69.17","284,795","345,864.00","69.06","69.09"
"29-Oct-2024","67.21","-0.17","68.02","66.72","68.52","291,929","354,114.00","67.47","67.50"
"28-Oct-2024","67.38","-4.40","68.98","66.92","69.00","419,623","349,385.00","68.00","68.03"
"25-Oct-2024","71.78","+1.59","70.33","69.96","71.92","287,189","336,548.00","71.67","71.70"
"24-Oct-2024","70.19","-0.58","71.02","69.77","72.34","286,571","344,297.00","70.32","70.36"
"23-Oct-2024","70.77","-1.32","71.35","70.13","71.72","293,835","339,104.00","71.02","71.06"
"22-Oct-2024","72.09","+1.53","70.49","70.05","72.66","32,180","4,474.00","",""
"21-Oct-2024","70.56","+1.34","69.46","69.00","71.03","92,584","22,842.00","69.00","71.04"
"18-Oct-2024","69.22","-1.45","70.75","68.69","71.23","95,768","60,833.00","69.25","69.64"
"17-Oct-2024","70.67","+0.28","70.68","69.44","71.11","188,161","83,042.00","70.75","70.77"
"16-Oct-2024","70.39","-0.19","70.99","69.64","71.31","222,437","123,204.00","70.68","70.72"
"15-Oct-2024","70.58","-3.25","71.51","69.71","72.12","328,738","137,889.00","71.03","71.05"
"14-Oct-2024","73.83","-1.73","75.05","71.81","75.08","273,455","158,279.00","71.72","72.04"
"11-Oct-2024","75.56","-0.29","75.74","74.53","76.04","315,302","169,437.00","75.40","75.54"
"10-Oct-2024","75.85","+2.61","73.39","73.26","76.24","321,453","189,085.00","75.51","75.80"
"09-Oct-2024","73.24","-0.33","73.84","71.53","74.45","401,159","197,403.00","73.25","73.40"
"08-Oct-2024","73.57","-3.57","77.33","72.69","78.46","496,760","221,249.00","73.80","73.95"
"07-Oct-2024","77.14","+2.76","74.40","73.62","77.40","419,018","242,047.00","77.28","77.30"
"04-Oct-2024","74.38","+0.67","73.95","73.46","75.57","428,815","265,679.00","74.44","74.47"
"03-Oct-2024","73.71","+3.61","70.98","70.52","74.09","460,554","290,973.00","73.70","73.73"
"02-Oct-2024","70.10","+0.27","70.80","69.87","72.49","429,225","308,702.00","71.00","71.02"
"01-Oct-2024","69.83","+1.66","68.41","66.33","71.94","668,216","305,581.00","70.64","70.80"
"30-Sep-2024","68.17","-0.01","68.63","67.57","69.32","350,115","318,997.00","68.29","68.30"
"27-Sep-2024","68.18","+0.51","67.45","67.06","68.65","341,133","329,816.00","68.63","68.64"
"26-Sep-2024","67.67","-2.02","69.89","66.95","70.01","478,069","333,560.00","67.45","67.48"
"25-Sep-2024","69.69","-1.87","71.54","69.23","71.72","476,237","337,946.00","69.84","69.85"
"24-Sep-2024","71.56","+1.19","70.76","70.44","72.40","318,516","350,623.00","71.54","71.56"
"23-Sep-2024","70.37","-1.55","71.31","69.49","71.81","338,267","355,290.00","70.72","70.74"
"20-Sep-2024","71.92","-0.03","72.10","71.36","72.40","43,889","786.00","",""
"19-Sep-2024","71.95","+1.04","70.13","70.13","72.49","86,630","19,413.00","71.38","72.44"
"18-Sep-2024","70.91","-0.28","71.14","69.73","71.48","102,907","57,428.00","70.00","70.95"
"17-Sep-2024","71.19","+1.10","70.50","69.61","71.92","251,629","84,184.00","71.02","71.23"
"16-Sep-2024","70.09","+1.44","69.16","68.65","70.70","295,176","132,538.00","70.49","70.51"
"13-Sep-2024","68.65","-0.32","69.31","68.47","70.32","308,983","168,202.00","69.22","69.25"
"12-Sep-2024","68.97","+1.66","67.39","67.24","69.81","351,976","201,028.00","69.17","69.19"
"11-Sep-2024","67.31","+1.56","66.28","65.63","67.97","393,311","219,822.00","67.37","67.40"
"10-Sep-2024","65.75","-2.96","68.78","65.27","69.08","442,855","233,215.00","66.28","66.33"
"09-Sep-2024","68.71","+1.04","68.13","67.31","68.96","299,738","242,556.00","68.78","68.82"
"06-Sep-2024","67.67","-1.48","69.33","67.17","70.13","351,074","249,665.00","68.16","68.18"
"05-Sep-2024","69.15","-0.05","69.27","68.75","70.82","405,596","251,340.00","69.30","69.33"
"04-Sep-2024","69.20","-1.14","70.28","68.82","71.46","482,025","259,532.00","69.24","69.27"
"03-Sep-2024","70.34","-3.21","73.53","70.10","74.41","546,617","270,539.00","70.21","70.24"
"30-Aug-2024","73.55","-2.36","75.87","73.36","76.59","427,273","271,331.00","73.64","73.67"
"29-Aug-2024","75.91","+1.39","74.42","74.05","76.91","408,147","297,127.00","76.00","76.04"
"28-Aug-2024","74.52","-1.01","75.75","73.82","75.95","337,361","304,553.00","74.37","74.39"
"27-Aug-2024","75.53","-1.89","77.20","75.40","77.48","331,162","313,117.00","75.75","75.77"
"26-Aug-2024","77.42","+2.59","75.10","75.04","77.60","409,675","328,534.00","77.15","77.18"
"23-Aug-2024","74.83","+1.82","72.96","72.83","75.07","313,764","345,594.00","74.96","74.98"
"22-Aug-2024","73.01","+1.08","71.93","71.58","73.52","334,117","353,754.00","72.97","73.00"
"21-Aug-2024","71.93","-2.11","73.12","71.46","74.16","390,527","357,897.00","71.94","71.96"
"20-Aug-2024","74.04","-0.33","74.34","73.50","75.03","25,800","1,398.00","",""
"19-Aug-2024","74.37","-2.28","76.58","74.17","76.87","118,172","20,730.00","73.01","78.01"
"16-Aug-2024","76.65","-1.51","78.16","75.54","78.16","100,810","65,315.00","76.35","76.62"
"15-Aug-2024","78.16","+1.18","77.52","76.93","78.60","195,122","82,533.00","77.97","78.17"
"14-Aug-2024","76.98","-1.37","78.73","76.83","79.10","357,636","115,524.00","77.09","77.31"
"13-Aug-2024","78.35","-1.71","79.74","78.16","80.15","370,763","157,672.00","78.52","78.74"
"12-Aug-2024","80.06","+3.22","76.99","76.70","80.16","376,747","185,959.00","79.67","79.69"
"09-Aug-2024","76.84","+0.65","76.02","75.85","77.09","263,007","210,263.00","76.90","77.20"
"08-Aug-2024","76.19","+0.96","75.47","74.60","76.52","327,301","228,544.00","76.00","76.19"
"07-Aug-2024","75.23","+2.03","72.84","72.58","75.84","427,995","259,796.00","75.36","75.50"
"06-Aug-2024","73.20","+0.26","73.86","72.20","74.56","352,250","287,732.00","72.82","73.15"
"05-Aug-2024","72.94","-0.58","74.21","71.67","74.46","500,151","302,128.00","73.65","74.12"
"02-Aug-2024","73.52","-2.79","76.87","72.97","77.29","467,786","326,391.00","74.03","74.25"
"01-Aug-2024","76.31","-1.60","78.59","76.24","78.88","383,014","328,559.00","76.81","76.97"
"31-Jul-2024","77.91","+3.18","75.24","75.18","78.66","460,315","331,682.00","78.51","78.69"
"30-Jul-2024","74.73","-1.08","75.91","74.59","75.97","419,478","335,749.00","75.25","75.28"
"29-Jul-2024","75.81","-1.35","77.30","75.35","77.69","362,635","363,651.00","75.91","75.92"
"26-Jul-2024","77.16","-1.12","78.35","76.19","78.60","365,121","378,947.00","76.43","76.45"
"25-Jul-2024","78.28","+0.69","77.50","76.04","78.47","457,288","395,137.00","78.33","78.35"
"24-Jul-2024","77.59","+0.63","77.45","76.98","78.19","355,971","393,388.00","77.48","77.51"
"23-Jul-2024","76.96","-2.82","78.27","76.40","78.73","417,941","405,218.00","77.46","77.48"
"22-Jul-2024","79.78","-0.35","80.39","79.17","80.69","27,335","1,111.00","",""
"19-Jul-2024","80.13","-2.69","82.47","80.07","82.88","83,795","21,402.00","79.92","80.39"
"18-Jul-2024","82.82","-0.03","83.11","82.04","83.82","95,704","51,200.00","82.20","82.86"
"17-Jul-2024","82.85","+2.09","80.85","80.45","83.10","257,437","76,788.00","83.09","83.10"
"16-Jul-2024","80.76","-1.15","81.92","80.22","81.93","308,186","117,205.00","80.81","80.83"
"15-Jul-2024","81.91","-0.30","82.16","81.47","82.58","296,520","156,251.00","81.95","81.97"
"12-Jul-2024","82.21","-0.41","82.86","82.10","83.74","370,062","185,720.00","82.19","82.20"
"11-Jul-2024","82.62","+0.52","82.40","81.63","83.13","324,170","225,563.00","82.82","82.84"
"10-Jul-2024","82.10","+0.69","81.81","80.81","82.66","334,380","241,305.00","82.39","82.41"
"09-Jul-2024","81.41","-0.92","82.22","81.25","82.48","297,325","250,246.00","81.81","81.82"
"08-Jul-2024","82.33","-0.83","83.15","82.08","83.32","251,774","259,927.00","82.20","82.23"
"05-Jul-2024","83.16","-0.72","83.60","83.02","84.52","361,357","266,354.00","83.44","83.46"
"03-Jul-2024","83.88","+1.07","83.20","82.46","83.93","289,685","277,505.00","83.59","83.63"
"02-Jul-2024","82.81","-0.57","83.43","82.72","84.38","367,787","291,548.00","83.15","83.18"
"01-Jul-2024","83.38","+1.84","81.45","81.38","83.64","345,780","320,798.00","83.37","83.41"
"28-Jun-2024","81.54","-0.20","81.86","80.97","82.72","260,252","324,086.00","81.45","81.48"
"27-Jun-2024","81.74","+0.84","80.86","80.51","82.04","306,342","336,012.00","81.80","81.82"
"26-Jun-2024","80.90","+0.07","80.72","80.18","81.63","308,410","338,926.00","80.86","80.90"
"25-Jun-2024","80.83","-0.80","81.70","80.55","81.90","286,038","344,582.00","80.75","80.79"
"24-Jun-2024","81.63","+0.90","80.45","80.23","81.78","271,745","345,351.00","81.73","81.75"
"21-Jun-2024","80.73","-1.44","81.27","80.35","81.79","290,500","340,335.00","80.56","80.61"
"20-Jun-2024","82.17","+0.60","81.52","81.13","82.41","23,268","6,433.00","",""
"18-Jun-2024","81.57","+1.24","80.43","79.77","81.67","140,709","23,329.00","79.41","81.70"
"17-Jun-2024","80.33","+1.88","78.48","77.98","80.66","126,733","71,092.00","80.57","80.60"
"14-Jun-2024","78.45","-0.17","77.96","77.73","79.15","245,827","95,233.00","78.46","78.51"
"13-Jun-2024","78.62","+0.12","78.37","77.67","78.89","307,638","131,772.00","77.90","77.96"
"12-Jun-2024","78.50","+0.60","78.22","77.88","79.32","322,285","177,666.00","78.31","78.33"
"11-Jun-2024","77.90","+0.16","78.12","77.22","78.36","314,874","208,528.00","78.16","78.19"
"10-Jun-2024","77.74","+2.21","75.35","75.23","78.29","317,031","240,326.00","78.22","78.27"
"07-Jun-2024","75.53","-0.02","75.67","75.21","76.25","280,253","269,326.00","75.35","75.38"
"06-Jun-2024","75.55","+1.48","74.30","74.06","75.79","291,082","295,892.00","75.66","75.68"
"05-Jun-2024","74.07","+0.82","72.90","72.82","74.33","307,701","313,555.00","74.28","74.30"
"04-Jun-2024","73.25","-0.97","74.02","72.48","74.13","408,721","331,032.00","72.90","72.93"
"03-Jun-2024","74.22","-2.77","76.97","73.98","77.52","443,271","347,494.00","73.98","74.03"
"31-May-2024","76.99","-0.92","77.91","76.67","78.62","345,120","361,691.00","77.07","77.40"
"30-May-2024","77.91","-1.32","79.28","77.63","79.42","373,779","385,511.00","77.85","77.91"
"29-May-2024","79.23","-0.60","80.26","78.99","80.62","259,594","383,835.00","79.25","79.30"
"28-May-2024","79.83","+2.11","77.81","77.69","80.29","334,074","399,183.00","80.26","80.30"
"24-May-2024","77.72","+0.85","77.04","76.15","78.05","299,075","403,143.00","77.77","77.83"
"23-May-2024","76.87","-0.70","77.29","76.43","78.66","330,273","410,911.00","76.93","76.98"
"22-May-2024","77.57","-1.69","78.21","77.25","78.41","314,145","414,530.00","77.22","77.27"
"21-May-2024","79.26","-0.54","79.70","78.08","79.72","34,179","4,346.00","",""
"20-May-2024","79.80","-0.26","80.01","79.17","80.60","85,072","22,678.00","78.85","80.25"
"17-May-2024","80.06","+0.83","79.38","79.00","80.14","94,152","64,368.00","79.75","80.00"
"16-May-2024","79.23","+0.60","78.84","78.20","79.85","230,277","87,602.00","79.31","79.35"
"15-May-2024","78.63","+0.61","78.44","76.70","78.92","321,267","132,482.00","78.87","78.90"
"14-May-2024","78.02","-1.10","79.23","77.68","79.38","307,410","174,161.00","78.43","78.46"
"13-May-2024","79.12","+0.86","78.18","77.78","79.49","287,701","205,002.00","79.17","79.23"
"10-May-2024","78.26","-1.00","79.59","78.14","79.96","281,169","239,274.00","78.18","78.23"
"09-May-2024","79.26","+0.27","79.23","78.91","79.80","272,712","259,315.00","79.57","79.59"
"08-May-2024","78.99","+0.61","78.34","76.89","79.27","355,449","278,140.00","79.19","79.24"
"07-May-2024","78.38","-0.10","78.72","77.55","79.17","327,593","308,755.00","78.33","78.37"
"06-May-2024","78.48","+0.37","78.16","77.91","79.09","297,369","332,805.00","78.66","78.71"
"03-May-2024","78.11","-0.84","79.07","77.96","79.63","324,438","347,488.00","77.95","78.01"
"02-May-2024","78.95","-0.05","79.15","78.41","79.90","359,652","361,263.00","79.05","79.09"
"01-May-2024","79.00","-2.93","81.48","78.83","81.57","441,978","378,634.00","79.10","79.13"
"30-Apr-2024","81.93","-0.70","82.76","80.95","83.30","400,680","374,353.00","81.52","81.56"
"29-Apr-2024","82.63","-1.22","83.69","82.40","83.91","336,984","382,587.00","82.73","82.77"
"26-Apr-2024","83.85","+0.28","83.81","83.35","84.46","244,090","398,856.00","83.64","83.70"
"25-Apr-2024","83.57","+0.76","82.83","81.99","83.83","314,116","391,933.00","83.75","83.81"
"24-Apr-2024","82.81","-0.55","83.40","82.44","83.71","329,077","394,758.00","82.80","82.85"
"23-Apr-2024","83.36","+0.51","82.13","80.88","83.43","355,814","390,272.00","83.36","83.40"
"22-Apr-2024","82.85","-0.29","83.05","81.85","83.35","30,212","2,610.00","",""
"19-Apr-2024","83.14","+0.41","82.62","81.80","86.28","76,901","23,454.00","82.33","85.90"
"18-Apr-2024","82.73","+0.04","82.79","81.56","83.47","84,468","53,643.00","82.17","82.76"
"17-Apr-2024","82.69","-2.67","85.36","82.55","85.51","259,540","76,911.00","82.82","82.86"
"16-Apr-2024","85.36","-0.05","85.70","84.75","86.18","241,343","116,585.00","85.29","85.33"
"15-Apr-2024","85.41","-0.25","85.93","84.05","86.11","343,894","131,608.00","85.62","85.66"
"12-Apr-2024","85.66","+0.64","85.60","85.24","87.67","369,958","157,589.00","85.43","85.48"
"11-Apr-2024","85.02","-1.19","86.32","84.84","86.63","388,128","177,793.00","85.56","85.61"
"10-Apr-2024","86.21","+0.98","85.34","84.55","86.38","373,939","210,937.00","86.24","86.29"
"09-Apr-2024","85.23","-1.20","86.59","85.09","86.98","314,994","224,922.00","85.32","85.35"
"08-Apr-2024","86.43","-0.48","86.10","84.69","87.10","393,734","241,216.00","86.54","86.60"
"05-Apr-2024","86.91","+0.32","86.86","86.32","87.63","353,206","275,999.00","86.72","86.78"
"04-Apr-2024","86.59","+1.16","85.66","84.64","87.22","359,534","299,809.00","86.77","86.91"
"03-Apr-2024","85.43","+0.28","85.46","84.85","86.20","322,549","314,772.00","85.60","85.65"
